CAR NUMBER,TEAM,UNIVERSITY,CATEGORY,COUNTRY
14,BME Former Racing Team,Budapest University of Technology and Economics,CLASSIC,Hungary
92,AAMA - ARUS,Universidad de Sevilla,CLASSIC,Spain
95,FSUPV Alumni,Universitat Politecnica de Valencia,CLASSIC,Spain
111,BlueStreamline BS11,Transilvania University of Brasov,CLASSIC,Romania
212,Gades Racing Team Alumni,University of Cádiz,CLASSIC,Spain
225,Dynamics UPC Classic Cup,UPC Manresa,CLASSIC,Spain
965,Scuderia RheinMain Alumni Racing Team,UAS Wiesbaden,CLASSIC,Germany
